timestamp,intensity,volatility,osi
1640048375091,7520,0.0009431036233863,27.84
1640048435492,7520,0.0009338962266559,27.84
1640048495763,7520,0.0009573812967509,27.84
1640048556918,7520,0.0009471955907728,27.84
1640048617085,7520,0.0009400797838481,27.84
1640048678344,7520,0.0009318222378366,27.84
1640048741492,7520,0.0009206622874969,27.84
1640048801911,7520,0.0009697758072251,27.84
1640048862567,7520,0.0009629500128629,27.84
1640048922790,7520,0.0009526571028211,27.84
1640048983969,7520,0.0009587129052968,27.84
1640049044879,7520,0.0009575011804892,27.84
1640049106080,7520,0.0009824501683715,27.84
1640049166142,7520,0.001013480565745,27.84
1640049227247,7520,0.0010132127121192,27.84
1640049287278,7520,0.0010036208955381,27.84
1640049348355,7520,0.0010829091871862,27.84
1640049409861,7520,0.0010797449034858,27.84
1640049470241,7520,0.001069787102392,27.84
1640049531046,7520,0.0010703440398471,27.84
1640049591066,7520,0.0010907075030194,27.84
1640049651115,7520,0.001087649969494,27.84
1640049711745,7520,0.0011270957490764,27.84
1640049772436,7520,0.0011207027153849,27.84
1640049833046,7520,0.0011114929899314,27.84
1640049893507,7520,0.0011097555483299,27.84
1640049957222,7520,0.0011171319845782,27.84
1640050017732,7520,0.001111733952415,27.84
1640050078119,7520,0.0011041470124036,27.84
1640050138871,7134,0.001100104890104,27.84
1640050200996,7134,0.0010942342001822,27.84
1640050262738,7134,0.0010994231866226,27.84
1640050323153,7134,0.0011106105898796,27.84
1640050383471,7134,0.0011025990375839,27.84
1640050445888,7134,0.0010970414759707,27.84
1640050506645,7134,0.0010903223454104,27.84
1640050568892,7134,0.0010827883244455,27.84
1640050630365,7134,0.0010816970431459,27.84
1640050690622,7134,0.00107461495304,27.84
1640050751833,7134,0.0010689870594788,27.84
1640050813977,7134,0.0010619309621727,27.84
1640050874593,7134,0.0010687715973362,27.84
1640050937900,7134,0.0010640693538221,27.84
1640051000125,7134,0.0010621509106346,27.84
1640051060553,7134,0.0010576211514526,27.84
1640051120687,7134,0.0010531844714313,27.84
1640051182106,7134,0.0010597687276465,27.84
1640051242989,7134,0.0010602625271629,27.84
1640051303047,7134,0.0010548358030653,27.84
1640051363079,7134,0.0010542072572205,27.84
1640051423548,7134,0.0010525439835034,27.84
1640051484565,7134,0.0010531016040751,27.84
1640051547034,7134,0.0010475892237982,27.84
1640051607280,7134,0.0010507621631917,27.84
1640051669915,7134,0.0010513219191939,27.84
1640051731895,7134,0.0010530698191269,27.84
1640051791972,7134,0.0010515258065017,27.84
1640051852556,7134,0.001046679336955,27.84
1640051914055,7134,0.0010472608648989,27.84
1640051975545,7515,0.0010562346230584,27.66
1640052036114,7515,0.0010528112168538,27.66
1640052097035,7515,0.0010606844707035,27.66
1640052157948,7515,0.0010552589391099,27.66
1640052219968,7515,0.0010511177312025,27.66
1640052280128,7515,0.0010506188652408,27.66
1640052341191,7515,0.0010454166822869,27.66
1640052403580,7515,0.0010429266889054,27.66
1640052464843,7515,0.0010408407729153,27.66
1640052525191,7515,0.0010360102835842,27.66
1640052585509,7515,0.0010531811222151,27.66
1640052645901,7515,0.0010510776141386,27.66
1640052706232,7515,0.001054872982565,27.66
1640052767242,7515,0.0010510796918019,27.66
1640052827405,7515,0.0010473426399725,27.66
1640052888427,7515,0.0010469218951504,27.66
1640052949754,7515,0.0010432753344268,27.66
1640053009962,7515,0.0010447786846983,27.66
1640053072272,7515,0.0010422278724219,27.66
1640053132323,7515,0.0010376888963528,27.66
1640053193415,7515,0.0010382468500983,27.66
1640053254386,7515,0.0010364270521762,27.66
1640053314525,7515,0.0010330231130699,27.66
1640053375266,7515,0.0010319678420952,27.66
1640053435392,7515,0.001029093588283,27.66
1640053495552,7515,0.0010249593487873,27.66
1640053555554,7515,0.0010207556753505,27.66
1640053615786,7515,0.0010166039575751,27.66
1640053676172,7515,0.0010226897422694,27.66
1640053736392,7515,0.0010233365731446,27.66
1640053797094,7601,0.0010211562074433,27.66
1640053858871,7601,0.0010258368631713,27.66
