timestamp,best_bid,best_ask,low_price,high_price,buy_volume,sell_volume
1640048314619,1.2367,1.2368,1.2366,1.2368,7167,219
1640048315679,1.2367,1.2368,1.2367,1.2368,307,63
1640048316756,1.2367,1.2368,0.0,0.0,0,0
1640048317839,1.2367,1.2368,1.2366,1.2368,1197,1170
1640048318906,1.2371,1.2372,1.2368,1.2371,15756,0
1640048319917,1.2372,1.2374,1.2372,1.2373,3655,629
1640048320939,1.2373,1.2374,1.2372,1.2375,814,1781
1640048321982,1.2372,1.2373,1.2373,1.2373,0,1320
1640048323048,1.2372,1.2373,0.0,0.0,0,0
1640048324142,1.2372,1.2373,1.2372,1.2372,0,33
1640048325185,1.2371,1.2372,1.2372,1.2372,0,526
1640048326232,1.2371,1.2372,0.0,0.0,0,0
1640048327310,1.2371,1.2372,0.0,0.0,0,0
1640048328369,1.2371,1.2372,1.2372,1.2372,18,0
1640048329432,1.2371,1.2372,0.0,0.0,0,0
1640048330502,1.2371,1.2372,1.2372,1.2372,19,0
1640048331595,1.2371,1.2372,1.2372,1.2372,496,0
1640048332618,1.2371,1.2372,0.0,0.0,0,0
1640048333661,1.2371,1.2372,1.2371,1.2371,0,32
1640048334715,1.2371,1.2372,0.0,0.0,0,0
1640048335739,1.2371,1.2372,1.2372,1.2372,59,0
1640048336756,1.2371,1.2372,0.0,0.0,0,0
1640048337766,1.2371,1.2372,1.2372,1.2372,11,0
1640048338823,1.2371,1.2372,1.2372,1.2372,29,0
1640048339858,1.2367,1.2368,1.2367,1.2371,172,1940
1640048340886,1.2369,1.2371,1.2368,1.2369,1852,0
1640048341948,1.237,1.2371,1.2369,1.2371,22,146
1640048343043,1.237,1.2371,0.0,0.0,0,0
1640048344074,1.237,1.2371,0.0,0.0,0,0
1640048345157,1.2369,1.237,1.2368,1.237,0,8212
1640048346244,1.2369,1.2371,1.237,1.2372,2000,534
1640048347362,1.237,1.2371,1.2371,1.2371,10,0
1640048348379,1.237,1.2371,0.0,0.0,0,0
1640048349412,1.2371,1.2372,1.2371,1.2372,2000,0
1640048350443,1.2371,1.2372,1.2371,1.2371,0,5
1640048351467,1.2372,1.2373,1.2371,1.2372,1081,5
1640048352579,1.2372,1.2373,0.0,0.0,0,0
1640048353648,1.2372,1.2373,0.0,0.0,0,0
1640048354679,1.2374,1.2375,1.2373,1.2374,0,19
1640048355765,1.2374,1.2375,1.2374,1.2375,153,17
1640048356788,1.2373,1.2374,1.2374,1.2374,37,919
1640048357830,1.2373,1.2374,1.2373,1.2374,80,1
1640048358863,1.2373,1.2374,0.0,0.0,0,0
1640048359863,1.2373,1.2374,1.2373,1.2373,0,10
1640048360915,1.2373,1.2374,1.2373,1.2373,0,8
1640048362002,1.2373,1.2374,1.2373,1.2373,0,6
1640048363070,1.2373,1.2374,1.2371,1.2373,0,1701
1640048364098,1.2372,1.2373,0.0,0.0,0,0
1640048365117,1.2372,1.2373,0.0,0.0,0,0
1640048366139,1.2372,1.2373,1.2372,1.2372,0,5
1640048367192,1.2372,1.2373,0.0,0.0,0,0
1640048368274,1.2372,1.2373,0.0,0.0,0,0
1640048369353,1.2372,1.2373,0.0,0.0,0,0
1640048370420,1.2371,1.2372,1.237,1.2372,0,16781
1640048371454,1.237,1.2371,1.2371,1.2371,5,0
1640048372476,1.237,1.2371,0.0,0.0,0,0
1640048373523,1.2369,1.237,1.237,1.237,0,15723
1640048374612,1.2369,1.237,1.2369,1.2369,0,5
1640048375709,1.2363,1.2364,1.2364,1.2369,0,19987
1640048376752,1.2364,1.2365,1.2364,1.2365,1049,0
1640048377795,1.2366,1.2367,1.2365,1.2366,431,0
1640048378828,1.2367,1.2368,1.2368,1.2369,22,13
1640048379886,1.2369,1.237,1.2367,1.2369,88,800
1640048380940,1.2367,1.2368,0.0,0.0,0,0
1640048381963,1.237,1.2371,1.2368,1.237,3126,400
1640048382973,1.2373,1.2374,1.2371,1.2373,1781,68
1640048384092,1.2373,1.2374,0.0,0.0,0,0
1640048385127,1.2375,1.2376,1.2374,1.2375,342,0
